Class,Age,Sex,Survived,id,Port,AgeInNumbers
First,Adult,Male,Yes,0,Cherbourg,73.17717592
First,Adult,Male,Yes,1,Queenstown,30.55824214
First,Adult,Male,Yes,2,Belfast,91.58352307
First,Adult,Male,Yes,3,Southhampton,59.69564844
First,Adult,Male,Yes,4,Belfast,78.84167268
First,Adult,Male,Yes,5,Belfast,75.83497383
First,Adult,Male,Yes,6,Cherbourg,76.90794513
First,Adult,Male,Yes,7,Southhampton,32.98915682
First,Adult,Male,Yes,8,Cherbourg,40.44570776
First,Adult,Male,Yes,9,Cherbourg,94.52336827
First,Adult,Male,Yes,10,Belfast,90.19747058
First,Adult,Male,Yes,11,Belfast,63.4384233
First,Adult,Male,Yes,12,Belfast,76.08180382
First,Adult,Male,Yes,13,Southhampton,46.17964578
First,Adult,Male,Yes,14,Southhampton,46.06609488
First,Adult,Male,Yes,15,Cherbourg,82.0233374
First,Adult,Male,Yes,16,Southhampton,47.67850368
First,Adult,Male,Yes,17,Cherbourg,73.38067197
First,Adult,Male,Yes,18,Cherbourg,74.87738259
First,Adult,Male,Yes,19,Cherbourg,86.56098188
First,Adult,Male,Yes,20,Belfast,73.50018768
First,Adult,Male,Yes,21,Southhampton,37.45848406
First,Adult,Male,Yes,22,Cherbourg,89.61955553
First,Adult,Male,Yes,23,Queenstown,19.90650914
First,Adult,Male,Yes,24,Southhampton,51.23573933
First,Adult,Male,Yes,25,Queenstown,33.03681988
First,Adult,Male,Yes,26,Southhampton,49.72976318
First,Adult,Male,Yes,27,Cherbourg,78.78143494
First,Adult,Male,Yes,28,Belfast,95.89164235
First,Adult,Male,Yes,29,Belfast,69.57590426
First,Adult,Male,Yes,30,Cherbourg,101.3863754
First,Adult,Male,Yes,31,Cherbourg,66.10407354
First,Adult,Male,Yes,32,Belfast,85.43488415
First,Adult,Male,Yes,33,Belfast,56.05110744
First,Adult,Male,Yes,34,Cherbourg,70.21504818
First,Adult,Male,Yes,35,Belfast,98.20577505
First,Adult,Male,Yes,36,Belfast,74.34485029
First,Adult,Male,Yes,37,Southhampton,43.47615361
First,Adult,Male,Yes,38,Cherbourg,95.41373695
First,Adult,Male,Yes,39,Southhampton,47.13571526
First,Adult,Male,Yes,40,Cherbourg,65.39949696
First,Adult,Male,Yes,41,Cherbourg,64.90159
First,Adult,Male,Yes,42,Cherbourg,92.92063935
First,Adult,Male,Yes,43,Cherbourg,77.05360344
First,Adult,Male,Yes,44,Belfast,73.45013342
First,Adult,Male,Yes,45,Cherbourg,87.95724877
First,Adult,Male,Yes,46,Belfast,71.54234898
