Class,Age,Sex,Survived,id,Port,AgeInNumbers,clusterID,nodeWidth,nodeHeight,YOffset,XOffset
First,Adult,Male,Yes,0,Belfast,46,1,4.238095238,4.238095238,-8.476190476,-55.0952381
First,Adult,Male,Yes,1,Cherbourg,67,101,4.238095238,4.238095238,8.476190476,-4.238095238
First,Adult,Male,Yes,2,Southhampton,43,143,4.238095238,4.238095238,16.95238095,16.95238095
First,Adult,Male,Yes,3,Southhampton,35,146,4.238095238,4.238095238,-4.238095238,21.19047619
First,Adult,Male,Yes,4,Southhampton,41,153,4.238095238,4.238095238,-8.476190476,25.42857143
First,Adult,Male,Yes,5,Southhampton,30,155,4.238095238,4.238095238,0,25.42857143
First,Adult,Male,Yes,6,Cherbourg,50,91,4.238095238,4.238095238,0,-8.476190476
First,Adult,Male,Yes,7,Southhampton,32,158,4.238095238,4.238095238,12.71428571,25.42857143
First,Adult,Male,Yes,8,Southhampton,40,179,4.238095238,4.238095238,0,38.14285714
First,Adult,Male,Yes,9,Queenstown,23,196,4.238095238,4.238095238,4.238095238,46.61904762
First,Adult,Male,Yes,10,Cherbourg,48,123,4.238095238,4.238095238,0,8.476190476
First,Adult,Male,Yes,11,Southhampton,36,184,4.238095238,4.238095238,-12.71428571,42.38095238
First,Adult,Male,Yes,12,Southhampton,32,188,4.238095238,4.238095238,4.238095238,42.38095238
First,Adult,Male,Yes,13,Belfast,41,5,4.238095238,4.238095238,8.476190476,-55.0952381
First,Adult,Male,Yes,14,Belfast,56,6,4.238095238,4.238095238,12.71428571,-55.0952381
First,Adult,Male,Yes,15,Belfast,50,7,4.238095238,4.238095238,16.95238095,-55.0952381
First,Adult,Male,Yes,16,Southhampton,33,186,4.238095238,4.238095238,-4.238095238,42.38095238
First,Adult,Male,Yes,17,Belfast,50,8,4.238095238,4.238095238,-12.71428571,-50.85714286
First,Adult,Male,Yes,18,Southhampton,27,185,4.238095238,4.238095238,-8.476190476,42.38095238
First,Adult,Male,Yes,19,Cherbourg,57,117,4.238095238,4.238095238,8.476190476,4.238095238
First,Adult,Male,Yes,20,Belfast,50,10,4.238095238,4.238095238,-4.238095238,-50.85714286
First,Adult,Male,Yes,21,Belfast,56,11,4.238095238,4.238095238,0,-50.85714286
First,Adult,Male,Yes,22,Belfast,34,12,4.238095238,4.238095238,4.238095238,-50.85714286
First,Adult,Male,Yes,23,Cherbourg,63,70,4.238095238,4.238095238,12.71428571,-21.19047619
First,Adult,Male,Yes,24,Cherbourg,59,87,4.238095238,4.238095238,16.95238095,-12.71428571
First,Adult,Male,Yes,25,Belfast,67,13,4.238095238,4.238095238,8.476190476,-50.85714286
First,Adult,Male,Yes,26,Belfast,55,14,4.238095238,4.238095238,12.71428571,-50.85714286
First,Adult,Male,Yes,27,Cherbourg,56,92,4.238095238,4.238095238,4.238095238,-8.476190476
First,Adult,Male,Yes,28,Cherbourg,48,94,4.238095238,4.238095238,12.71428571,-8.476190476
First,Adult,Male,Yes,29,Queenstown,25,192,4.238095238,4.238095238,-12.71428571,46.61904762
First,Adult,Male,Yes,30,Belfast,61,16,4.238095238,4.238095238,-12.71428571,-46.61904762
First,Adult,Male,Yes,31,Belfast,63,17,4.238095238,4.238095238,-8.476190476,-46.61904762
First,Adult,Male,Yes,32,Southhampton,31,181,4.238095238,4.238095238,8.476190476,38.14285714
First,Adult,Male,Yes,33,Belfast,68,18,4.238095238,4.238095238,-4.238095238,-46.61904762
First,Adult,Male,Yes,34,Queenstown,27,193,4.238095238,4.238095238,-8.476190476,46.61904762
First,Adult,Male,Yes,35,Cherbourg,68,120,4.238095238,4.238095238,-12.71428571,8.476190476
First,Adult,Male,Yes,36,Cherbourg,51,122,4.238095238,4.238095238,-4.238095238,8.476190476
First,Adult,Male,Yes,37,Belfast,64,20,4.238095238,4.238095238,4.238095238,-46.61904762
First,Adult,Male,Yes,38,Belfast,47,21,4.238095238,4.238095238,8.476190476,-46.61904762
First,Adult,Male,Yes,39,Southhampton,30,178,4.238095238,4.238095238,-4.238095238,38.14285714
First,Adult,Male,Yes,40,Belfast,65,23,4.238095238,4.238095238,16.95238095,-46.61904762
First,Adult,Male,Yes,41,Southhampton,38,176,4.238095238,4.238095238,-12.71428571,38.14285714
First,Adult,Male,Yes,42,Cherbourg,69,84,4.238095238,4.238095238,4.238095238,-12.71428571
First,Adult,Male,Yes,43,Belfast,45,24,4.238095238,4.238095238,-12.71428571,-42.38095238
First,Adult,Male,Yes,44,Southhampton,31,175,4.238095238,4.238095238,16.95238095,33.9047619
First,Adult,Male,Yes,45,Southhampton,23,174,4.238095238,4.238095238,12.71428571,33.9047619
First,Adult,Male,Yes,46,Belfast,77,25,4.238095238,4.238095238,-8.476190476,-42.38095238
First,Adult,Male,Yes,47,Belfast,53,26,4.238095238,4.238095238,-4.238095238,-42.38095238
First,Adult,Male,Yes,48,Belfast,54,27,4.238095238,4.238095238,0,-42.38095238
First,Adult,Male,Yes,49,Belfast,43,28,4.238095238,4.238095238,4.238095238,-42.38095238
First,Adult,Male,Yes,50,Belfast,54,29,4.238095238,4.238095238,8.476190476,-42.38095238
First,Adult,Male,Yes,51,Belfast,54,30,4.238095238,4.238095238,12.71428571,-42.38095238
First,Adult,Male,Yes,52,Southhampton,39,172,4.238095238,4.238095238,4.238095238,33.9047619
First,Adult,Male,Yes,53,Southhampton,33,171,4.238095238,4.238095238,0,33.9047619
First,Adult,Male,Yes,54,Belfast,56,31,4.238095238,4.238095238,16.95238095,-42.38095238
First,Adult,Male,Yes,55,Cherbourg,48,109,4.238095238,4.238095238,8.476190476,0
First,Adult,Male,Yes,56,Southhampton,42,170,4.238095238,4.238095238,-4.238095238,33.9047619
First,Adult,Male,No,57,Queenstown,20,121,4.238095238,4.238095238,-2.119047619,33.9047619
First,Adult,Male,No,58,Southhampton,37,61,4.238095238,4.238095238,10.5952381,-4.238095238
First,Adult,Male,No,59,Queenstown,22,120,4.238095238,4.238095238,-6.357142857,33.9047619
First,Adult,Male,No,60,Southhampton,27,19,4.238095238,4.238095238,10.5952381,-29.66666667
First,Adult,Male,No,61,Queenstown,20,119,4.238095238,4.238095238,-10.5952381,33.9047619
