Comment Body,Display Name,Latitude,Location,Longitude,Status,User Comments,User ID,userID (userscores.csv),Approve Date,Article Relevance,AV Gcommentspermonth,AVG Brevity,AVG Personal XP,AVG Picks,AVG Readability,AVG Recommendation Score,Brevity,Comment Sequence,Conversational Relevance,Editors Selection,Number of Records,Personal XP,Readability,Recommendation Count,Recommendation Score,Times People
"It has been scaled back, not discontinued.",Mark Kessinger,-10.333333,<br/>,-53.2,approved,api.nytimes.com/svc/community/v2/comments/user/id/165864.xml,165864,165864,"1,423,864,019",0,8.614457831,94.19440559,0.020734951,0.051748252,22.62503497,19.00559441,7,"14,131,946",0.008302278,0,1,0,8.3,0,0,1
"It is worth noting that Mr. Comey heads an agency that found its agents 100% faultless and totally justified in 150 out of 150 shootings of suspects -- 70 of them fatally -- from 1993 to 2011.  Likewise, under Mr. Comey, the FBI exonerated itself for the highly questionable killing of Ibragim Todashev --a friend and associate of the Tsarnaev brothers -- during questioning by FBI agents after the Boston Marathon bombings.  Simply based on the law of averages, a finding that shootings were justified 100% of the time is highly suspect.  Thus, while I respect the eloquence and erudition of Mr. Comey\'s speaking and writing, I remain very skeptical that he is in any position to present the \""hard truths\"" he purports to present in an objective way.<br/><br/>Nowhere in Mr. Comey\'s speech -- and yes, I read the full text -- did he address himself to the problems in American police culture.  The old \""blue wall of silence\"" seems to have changed little since the days Frank Serpico walked a beat.  Sure, there are many cops who do not themselves engage in wrongful conduct.  But officers good and bad are nearly universal in honoring that code of silence with respect to the wrongdoing of their colleagues (the occasional Frank Serpico or Adrian Schoolcraft notwithstanding). This turning of a blind eye towards wrongdoing within their ranks stands in direct conflict with Comey\'s assertion that police officers are \""overwhelmingly doing the right thing for the right reasons.\""",Mark Kessinger,-10.333333,<br/>,-53.2,approved,api.nytimes.com/svc/community/v2/comments/user/id/165864.xml,165864,165864,"1,423,797,059",0.14710355,8.614457831,94.19440559,0.020734951,0.051748252,22.62503497,19.00559441,245,"14,123,195",0.219342649,0,1,0.020242915,41.6,11,2.397895273,1
"Some more \""hard truths\"" for Mr. Comey to consider::<br/><br/> _ one of the biggest contributors to the absence of role models for young men in poor minority neighborhoods is our decades-long, failed war on drugs;<br/><br/>_ the black teen walking down the street of Bed-Stuy has a huge chance of being stopped and frisked, and having police find that partial bag of weed in his jacket that he forgot about; whereas the white, well-dressed kid from Dalton Prep, who is just as likely to be carrying something similar, faces almost zero chance of being stopped by police (and his investment analyst father enjoys the convenience of having his coke and weed delivered to his doorman building on the Upper West Side);<br/><br/>_ in the unlikely event the Dalton Prep kid is caught, he will be provided with the best legal defense money can buy; the kid from Bed-Stuy will have to take his chances with an overworked, underfunded public defender (and he will languish in Rikers while he awaits trial);<br/><br/>_ you mention the dangers faced by police on a typical night shift, yet fail to mention that both Brown and Garner were killed in broad daylight;<br/><br/>_ any position that invests in its holder an unusual level of authority over others will attract more than its share of those who enjoy wielding that authority; if the danger is recognized, procedures can be put in place to try to weed these folks out; if it is denied, the danger will be realized, and it will metastasize..  ",Mark Kessinger,-10.333333,<br/>,-53.2,approved,api.nytimes.com/svc/community/v2/comments/user/id/165864.xml,165864,165864,"1,423,839,799",0.104169969,8.614457831,94.19440559,0.020734951,0.051748252,22.62503497,19.00559441,260,"14,124,970",0.208668607,0,1,0.007407407,39.2,11,2.397895273,1
"It is evident that most Americans don\'t understand the difference between the colour of a person\'s skin and his/her race. <br/><br/>Apparently, if you live in the Land of the Free and you are white, and you see a person who made the grievous mistake of being born with too much melanin in their skin, this is a valid reason to feel alarm and anxiety, followed shortly thereafter by drawing your gun and shooting the person dead.<br/><br/>White Americans need to understand that only white South Africans share your fear of the black-skinned humans who live in your midst. Moreover, feeling fear is one thing. Succumbing to that fear and panicking is called cowardice.",Colenso,-16.920496,Cairns,145.771901,approved,api.nytimes.com/svc/community/v2/comments/user/id/26738619.xml,26738619,26738619,"1,423,839,185",0.076984822,15.28235294,174.8121632,0.021776078,0.026943803,31.67028483,7.983063895,117,"14,124,787",0.189456984,1,1,0,28,9,2.197224577,1
"   Our racial divide may involve racism by cultural routes we may not even be aware of, hence, the urgent need to educate ourselves on this subject, delve into our subconscious biases, so no further harm is done; and any college that praises itself for being diverse and inclusive must not only do the preaching but factually demonstrate its commitment. And police officers ought to go through all this, become responsibly aware as they proceed with their job, protect their community so it will protect them as well. Mr. Comey seems to understand the inequities in the system, and an honest try to resolve it. But, since we cannot wish for something we don\'t know, we must be instructed in it, and know that deeds have consequences.",manfred marcus,-17.05687,Bolivia,-64.991229,approved,api.nytimes.com/svc/community/v2/comments/user/id/47112177.xml,47112177,47112177,"1,423,770,335",0.12516211,24.15116279,111.3798748,0.026077289,0.048146365,25.81492537,9.490611459,127,"14,118,997",0.188691673,0,1,0.047244094,29.2,1,0,1
"Ah yes, but he did not shoplift, he merely threatened passersby with his AK47 in a show of true Americano grit, no?  Like your John Wayne or Charlstown Heston.",Claudio,-33.437913,"Santiago, Chile",-70.650456,approved,api.nytimes.com/svc/community/v2/comments/user/id/62488675.xml,62488675,62488675,"1,423,771,302",0.006707698,1,27,0,0,14.05,9.5,29,"14,119,257",0.01582984,0,1,0,12.9,8,2.079441542,1
Open and honest conversation is the best way to find common ground and from there build a balanced and fair environment. Ignoring the crude reality with rotten excuses will only widen the existing gulf between communities. <br/><br/>The dream announced by Dr. King is so simple that I struggle to understand why in 2015 we still can\'t smoothly get past that barrier. <br/><br/>Way to go Mr. Comey.,J.C.,-8.827166,"Luanda, Angola",13.243666,approved,api.nytimes.com/svc/community/v2/comments/user/id/54574743.xml,54574743,54574743,"1,423,773,567",0.064496253,0.282352941,62.20833333,0.02674178,0.083333333,19.25,12.75,67,"14,119,720",0.085770781,0,1,0.028169014,19,2,0.693147181,1
"Psychologists and some economists have been saying this for some time. It\'s fact, it should be used as a base to redesign training like you said but not like an excuse. ",J.C.,-8.827166,"Luanda, Angola",13.243666,approved,api.nytimes.com/svc/community/v2/comments/user/id/54574743.xml,54574743,54574743,"1,423,773,623",0.09344499,0.282352941,62.20833333,0.02674178,0.083333333,19.25,12.75,32,"14,119,784",0.06025087,0,1,0,15.2,3,1.098612289,1
"I salute this wonderful Officer for his upright and honest comments. His statement, \""people have unconscious racial biases\"" is a genuine statement. I could draw a parallel between the coloured people in the U.S. and Dalits in India. Even in India, Dalits face the same bias, whenever they are confronted with law enforcing agencies. The degree of suspicion on Dalits is always on the higher side even though they are innocents in most of the cases. <br/><br/>Police should not treat suspects based on their skin colour. When confronted with a suspect, the standard operating procedure should be the same for all communities.<br/><br/>Parents and teachers have a great role to play in shaping the minds of kids. Racial and religious tolerance should be taught both at home and school.",T. Anand Raj,13.080435,"Madras, India",80.282109,approved,api.nytimes.com/svc/community/v2/comments/user/id/70008528.xml,70008528,70008528,"1,423,791,940",0.105150309,10,135.1333333,0.011112631,0.133333333,29.09,12.76666667,130,"14,122,671",0.153076154,0,1,0.02238806,31.3,12,2.48490665,1
"At last, a real leader! That seems ti be what the US is missing---leaders who eschew politics and simply talk, deeply and fairly, about the issues that confront us, daunting as they are. This country is in a deep hole/mess, but if no one in authority follows Comey\'s lead, we will just sink deeper. ",Carol Wheeler,19.43253,Mexico,-99.13321,approved,api.nytimes.com/svc/community/v2/comments/user/id/2622.xml,2622,2622,"1,423,868,303",0.017084299,9.061728395,44.61580381,0.039135192,0.017711172,15.24128065,8.794277929,57,"14,132,588",0.043403388,0,1,0.052631579,19.9,5,1.609437912,1
