commentID,commentBody,recommendationCount,commentSequence,Personal,Relevance,Criticality,Writing Quality,Thread,Unexpected
407083,"As a few others have mentioned, not including ""Blue &amp; Sentimental"" by Ike Quebec is a big miss in my opinion. Ike has always been an overlooked Tenor player of his time. Ironic that he is still being overlooked by Blue Note. It's a fantastic album and I was bummed to see that it was not included in this list. Selfishly, I was just hoping to get a new mint copy on vinyl :)",1,11424261,0.2222,0.2083,0.2778,0.1389,0.0833,0.0833
485624,"PT 1 OF 3<br/><br/>WOW! Heartfelt thanks to Larry Rohter and the many readers who've commented thus farâ€_.it means a whole lot to everyone at Blue Note that folks are so passionate and well-informed about this music.Â <br/><br/>As we discussed in the interview, the 5 vinyl releases for November, 2015 will be based on suggestions made in this forum. Larry, I totally agree with you and the readers regarding Blue Mitchellâ€_let's make your suggestion of ""The Thing To Do"" one of the fiveâ€_it's a great record! We've also got to rectify the unintended slight to Sam Riversâ€_although I'm a big fan of ""Contours"", the consensus in favor of ""Fuchisa Swing Song"" runsÂ too strong to ignore. So that makes twoâ€_..James Edwards of Sonoma, CA and SJarrell of NC made a very good point regarding Duke Pearson being overlooked. Duke made a huge contribution to Blue Note - both in front of the mic and from behind the board - and should be more widely recognizedâ€_.Also overlooked is his predecessor in the A&amp;R chair, Ike Quebec. Dallas T from St Louis and RL from Kew Gardens presented very persuasive arguments on behalf of Ike's album, ""Blue and Sentimental""â€_ that should probably be LP #3â€_ <br/><br/>As a Detroiter, it's very uncool on my part to have passed over Dr Lonnie, Paul Chambers, Ron Carter, Curtis Fuller, Thad Jones and my dear friend, Sheila Jordanâ€_.I'm gonna have to start representing the D a little bit better! ",2,11513994,0.3282,0.2934,0.1583,0.0888,0.0811,0.0734
397316,"Kenny Dorham-Una Mas<br/>Haynes/Chambers/Newborn-We Three<br/>and agree with ""Inner Urge"", ""Fuchsia Swing Song"", and ""The Thing To Do""",1,11411489,0.55,0.5,0.1,0.1,0.05,0.05
398459,"Whoops, mea culpa. ""Live at the Top"" is an Atlantic Records release. Well, I'd still put Junior on any list!",0,11415101,0.381,0.381,0.1429,0.1429,0.0476,0.0476
485625,"PT 2 John Patton, Osby, Herbie Nichols, Scofield and Grolnick could easily have been included in the first 100. Someone mentioned George Braith's ""Two Souls in One... that's so weird: I was just playing that album this morning! It lives on the fringes of the Blue Note legacy but is a wild album that was quite popular on WCHD in Detroit. ADW120 of Upton MA did a brilliant bit of A&amp;R work by noting that Joe Lovano'sÂ  ""Quartets - Live at the Village Vanguard"" consists of over 2 hours of music that would need to be spread over 4 different lps and, as such, probably constitute 2 separate packagesâ€_.we'll have to deal with this conundrum - probably by splitting the set. Please remember that theÂ first 100 reissues are just the beginning - it's our intention to continue reissuing 5 albums a month for years to come. If we haven't gotten to all your favorites yet, we will!<br/><br/>Duncan from ChicagoÂ mentioned the Port Of Harlem Jazzmenâ€_Jazzmandel in Brooklyn mentioned Meade Lux Lewis and Albert Ammonsâ€_I'm glad you brought up our pre-33 1/3Â  catalogue because, in addition to this particular Vinyl LP Initiative Series,Â  there are some excellent Â special releases in the works involving all three of those aforementioned artists along with beautiful and comprehensive packages covering some of our other early recordings..stay tuned!Â Our vinyl offering for this year's Record Store Day involves a very sweet reissue of the first tracks that Alfred Lion produced for Blue Note on January 6, 1939.",1,11513987,0.3127,0.278,0.1544,0.0965,0.0888,0.0811
485626,"PART 3 OF REPLY:<br/>I must take issue with the gentleman who felt that Blue Note is no longer committed to the best in jazz â€_With recent and upcoming releases from an active roster that includes Ambrose Akinmusire, The Brian Blade Fellowship, Gregory Porter, Wayne Shorter, Robert Glasper,Â  Bobby Hutcherson/David Sandborn/Joey DeFrancesco with Billy Hart, Jason Moran, Joe Lovano and Dave Douglas, Otis Brown III, Chris Dave,Terence Blanchard, Ravi Coltrane, Lionel Loueke, Derrick Hodge, Jose James and Takuya Kuroda ( and a few soon-to-be-announced signings that are extremely cool), I just don't think that such a claim is valid or fair (I should mention that we're also committed to releasing all of our new jazz offerings on vinyl so watch for upcoming 33 1/3's from Ambrose, Blade, Hutcherson, Moran and Lovano/Douglas in the next few months.} That said, Mr. Mammy of Davis CA did make an excellent and greatly appreciated suggestion about Steve Lehman who is a great artist that we'd be proud to record.Â <br/><br/>Thanks to everyone for participatingâ€_.we'll keep our eyes on the comments and see if some other front-runners emerge.Â <br/><br/>And finally, with all due respect, we stand behind our artist Stanley Turrentine without apology!",2,11513923,0.3854,0.3463,0.1366,0.1024,0.0976,0.0927
435999,"So incredibly happy that my parents collection has a permanent home at such a prestigious institution! They both had amazing collections, which really should be shared. Their lives have been so rich, and my fathers tendency to save every piece of history was spot on. The materials are fantastic, and its wonderful that they will be available to everyone.",9,11458557,0.2364,0.2182,0.1818,0.0727,0.1455,0.1455
287642,"As an Optometrist (Eye Doc) that has been approached by Yelp many times over the past 5 years in the NY metro area, I don't like the sales pitch much.<br/><br/>I don't mind the reviews that I have been a subject of over the past 5 or so years. Most are fair and honest.  I have yet to see one that has been paid for.<br/><br/>I have been told by my patients that they do read the reviews and have come in because of them. I think that the Elite reviewers do a better job than newbies, but the Elite reviewers never get taken off the screen, and newbies are often removed from immediate public view just because they have written very few reviews (maybe only 1).<br/><br/>There is a problem with reviews, it happens with all review sites. False reviews, whether paid for or just out of spite don't help anyone. They can hurt a lot! This can happen in Google Place, Yahoo, or a number of other sites.<br/><br/>Under ObamaCare (ACA) patients will review the Dr.s and health care facilities in the future.  I hope it works, but I am concerned  by the repercussions that may occur from poorly written reviews. Healthcare facilities have begun hiring people to help give them better reviews. Is this ""paying"" for reviews? We need some type of standards for the future.<br/><br/> Now, if I can just get Yelp to honor the contract they signed with me last month, I would be very happy! ",0,11291490,0.251,0.1673,0.2129,0.1141,0.0722,0.0532
55157,"I love reading these posts - the blend of the grit of the work, the higher-level and skilled focused on metrics and organizational dynamics, and the sense of risk that's always present make this more real than any other source I've found for sharing the real life of a real business. And the writing's great.<br/><br/>All that said, with volume and other performance measures as strong as they were in 2013, but net margins modest, I'd look right away at pricing. Any serous price testing or modelling going on?",1,11022659,0.2128,0.2128,0.1383,0.1277,0.1702,0.1383
47627,Very well stated.  Probably as clear as I have ever seen.,1,11015013,0,0,0.2727,0.2727,0.0909,0.0909
