indexPandas,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
4316530,2008,8,27,3,1505.0,1435,1623.0,1600,WN,1923,N494WN,78.0,85.0,69.0,23.0,30.0,SMF,SAN,480,1.0,8.0,0,,0,23.0,0.0,0.0,0.0,0.0
6768224,2008,12,24,3,1438.0,1440,1731.0,1725,EV,5469,N902EV,113.0,105.0,93.0,6.0,-2.0,BMI,ATL,533,11.0,9.0,0,,0,,,,,
3389311,2008,6,3,2,1654.0,1645,2047.0,2050,MQ,3593,N504AE,173.0,185.0,150.0,-3.0,9.0,DFW,ROC,1266,6.0,17.0,0,,0,,,,,
5072687,2008,9,1,1,1425.0,1430,1553.0,1604,US,1085,N940UW,88.0,94.0,66.0,-11.0,-5.0,CLT,MCO,468,8.0,14.0,0,,0,,,,,
4995557,2008,9,2,2,1130.0,1140,1244.0,1300,OO,2674,N698BR,74.0,80.0,63.0,-16.0,-10.0,OMA,MKE,426,5.0,6.0,0,,0,,,,,
2484190,2008,5,21,3,1538.0,1545,1813.0,1830,XE,102,N17196,95.0,105.0,83.0,-17.0,-7.0,ONT,ELP,670,3.0,9.0,0,,0,,,,,
313894,2008,1,24,4,1531.0,1540,1859.0,1911,DL,1207,N910DL,208.0,211.0,188.0,-12.0,-9.0,BDL,RSW,1180,5.0,15.0,0,,0,,,,,
1996757,2008,4,13,7,1829.0,1830,1959.0,2007,OO,6485,N919SW,90.0,97.0,66.0,-8.0,-1.0,ORD,SGF,438,4.0,20.0,0,,0,,,,,
5393616,2008,10,6,1,1555.0,1555,1712.0,1720,WN,1571,N602SW,77.0,85.0,67.0,-8.0,0.0,BNA,MDW,395,3.0,7.0,0,,0,,,,,
2468415,2008,5,27,2,1453.0,1445,1716.0,1730,WN,1571,N724SW,83.0,105.0,74.0,-14.0,8.0,LAX,SLC,590,3.0,6.0,0,,0,,,,,
2803583,2008,5,19,1,1612.0,1605,1620.0,1630,MQ,4485,N674RJ,68.0,85.0,54.0,-10.0,7.0,SDF,ORD,286,5.0,9.0,0,,0,,,,,
5140931,2008,9,13,6,2035.0,2040,2113.0,2138,EV,4388,N875AS,98.0,118.0,83.0,-25.0,-5.0,ATL,SGF,563,2.0,13.0,0,,0,,,,,
4268326,2008,8,13,3,755.0,755,911.0,915,WN,3514,N507SW,76.0,80.0,67.0,-4.0,0.0,LAX,TUS,451,2.0,7.0,0,,0,,,,,
2190999,2008,4,16,3,621.0,630,749.0,750,MQ,4155,N631AE,148.0,140.0,108.0,-1.0,-9.0,ALB,ORD,723,9.0,31.0,0,,0,,,,,
1935353,2008,4,24,4,2150.0,2038,2227.0,2113,YV,1957,N77278,37.0,35.0,20.0,74.0,72.0,HNL,OGG,100,4.0,13.0,0,,0,74.0,0.0,0.0,0.0,0.0
5400430,2008,10,8,3,902.0,855,958.0,1005,WN,71,N293WN,56.0,70.0,46.0,-7.0,7.0,BDL,BWI,283,4.0,6.0,0,,0,,,,,
1006767,2008,2,1,5,927.0,933,1032.0,1028,NW,221,N584NW,125.0,115.0,88.0,4.0,-6.0,IND,MSP,503,6.0,31.0,0,,0,,,,,
3204646,2008,6,25,3,1457.0,1500,1555.0,1605,OO,3620,N216SW,58.0,65.0,46.0,-10.0,-3.0,CDC,SLC,221,4.0,8.0,0,,0,,,,,
2367182,2008,4,30,3,1426.0,1415,1705.0,1657,CO,37,N57857,159.0,162.0,135.0,8.0,11.0,EWR,MCO,938,6.0,18.0,0,,0,,,,,
4034621,2008,7,10,4,2156.0,2040,19.0,2255,MQ,4411,N815AE,83.0,75.0,49.0,84.0,76.0,ORD,LEX,323,1.0,33.0,0,,0,0.0,6.0,8.0,0.0,70.0
2665917,2008,5,17,6,1754.0,1800,1856.0,1915,US,2138,N768US,62.0,75.0,33.0,-19.0,-6.0,LGA,BOS,185,7.0,22.0,0,,0,,,,,
6511950,2008,12,17,3,2201.0,2050,121.0,10,WN,1498,N449WN,140.0,140.0,117.0,71.0,71.0,PHX,HOU,1020,4.0,19.0,0,,0,15.0,0.0,0.0,0.0,56.0
3924414,2008,7,24,4,1130.0,1130,1209.0,1211,DL,1260,N916DN,99.0,101.0,75.0,-2.0,0.0,SLC,GEG,546,6.0,18.0,0,,0,,,,,
4083046,2008,7,18,5,1634.0,1640,1849.0,1925,9E,3789,89389E,75.0,105.0,54.0,-36.0,-6.0,PIA,DTW,346,4.0,17.0,0,,0,,,,,
6296207,2008,11,16,7,2035.0,2010,2208.0,2145,MQ,3937,N639MQ,93.0,95.0,67.0,23.0,25.0,ORD,SGF,438,3.0,23.0,0,,0,0.0,0.0,0.0,0.0,23.0
6069634,2008,11,26,3,1255.0,1259,1445.0,1440,YV,2922,N77286,110.0,101.0,78.0,5.0,-4.0,PHX,COS,551,7.0,25.0,0,,0,,,,,
5890445,2008,10,9,4,2016.0,2020,2315.0,2305,B6,581,N638JB,179.0,165.0,163.0,10.0,-4.0,HPN,PBI,1057,4.0,12.0,0,,0,,,,,
6774536,2008,12,30,2,732.0,740,904.0,912,EV,5796,N720EV,92.0,92.0,64.0,-8.0,-8.0,ATL,DAY,432,4.0,24.0,0,,0,,,,,
4616808,2008,8,10,7,1546.0,1549,1628.0,1626,HA,193,N485HA,42.0,37.0,23.0,2.0,-3.0,HNL,LIH,102,7.0,12.0,0,,0,,,,,
1713258,2008,3,5,3,1819.0,1823,2019.0,2036,AS,498,N785AS,120.0,133.0,95.0,-17.0,-4.0,SEA,SFO,679,9.0,16.0,0,,0,,,,,
2803642,2008,5,16,5,737.0,745,848.0,855,MQ,4489,N630AE,71.0,70.0,49.0,-7.0,-8.0,ORD,DSM,299,8.0,14.0,0,,0,,,,,
1836862,2008,4,17,4,1951.0,1950,2039.0,2055,WN,431,N334SW,108.0,125.0,92.0,-16.0,1.0,BWI,MDW,611,10.0,6.0,0,,0,,,,,
4805170,2008,8,17,7,854.0,854,1018.0,1012,CO,799,N57869,144.0,138.0,116.0,6.0,0.0,IAH,DEN,861,5.0,23.0,0,,0,,,,,
449362,2008,1,17,4,1750.0,1725,1925.0,1848,NW,1558,N762NW,95.0,83.0,50.0,37.0,25.0,DTW,SYR,374,7.0,38.0,0,,0,25.0,0.0,12.0,0.0,0.0
728810,2008,2,3,7,1532.0,1358,1805.0,1645,YV,7190,N651ML,93.0,107.0,77.0,80.0,94.0,ORD,AVP,631,3.0,13.0,0,,0,0.0,0.0,0.0,0.0,80.0
5085054,2008,9,11,4,2138.0,2148,2246.0,2304,US,117,N834AW,68.0,76.0,47.0,-18.0,-10.0,LAS,PHX,256,8.0,13.0,0,,0,,,,,
5088811,2008,9,14,7,1910.0,1854,2116.0,2106,US,428,N303AW,66.0,72.0,46.0,10.0,16.0,PHX,ELP,347,6.0,14.0,0,,0,,,,,
3111112,2008,6,10,2,1325.0,1308,1506.0,1443,XE,2812,N15973,101.0,95.0,84.0,23.0,17.0,AMA,IAH,519,6.0,11.0,0,,0,0.0,0.0,6.0,0.0,17.0
4405537,2008,8,1,5,2035.0,2043,2351.0,2357,OO,6218,N935SW,136.0,134.0,102.0,-6.0,-8.0,ORD,HPN,738,18.0,16.0,0,,0,,,,,
1626272,2008,3,8,6,1951.0,1924,2104.0,2032,NW,1225,N331NW,193.0,188.0,158.0,32.0,27.0,DTW,DEN,1123,10.0,25.0,0,,0,27.0,0.0,5.0,0.0,0.0
4893194,2008,9,17,3,2038.0,2040,2153.0,2200,WN,106,N656SW,75.0,80.0,59.0,-7.0,-2.0,SAN,SJC,417,8.0,8.0,0,,0,,,,,
120346,2008,1,30,3,1852.0,1600,2232.0,1945,XE,1226,N13964,160.0,165.0,92.0,167.0,172.0,ORD,EWR,719,7.0,61.0,0,,0,0.0,0.0,167.0,0.0,0.0
3392903,2008,6,2,1,1711.0,1715,1833.0,1845,MQ,3730,N907AE,82.0,90.0,65.0,-12.0,-4.0,JAN,DFW,408,11.0,6.0,0,,0,,,,,
164104,2008,1,23,3,1155.0,1205,1404.0,1426,OH,5426,N371CA,129.0,141.0,117.0,-22.0,-10.0,SRQ,CVG,812,2.0,10.0,0,,0,,,,,
1106254,2008,2,1,5,1614.0,1611,1854.0,1904,AS,119,N307AS,160.0,173.0,146.0,-10.0,3.0,SAN,SEA,1050,3.0,11.0,0,,0,,,,,
1358582,2008,3,8,6,1225.0,1215,1313.0,1302,OO,6198,N776SK,48.0,47.0,26.0,11.0,10.0,DEN,ASE,125,5.0,17.0,0,,0,,,,,
4594460,2008,8,6,3,1914.0,1920,2013.0,2035,FL,771,N311AT,239.0,255.0,212.0,-22.0,-6.0,ATL,LAS,1747,8.0,19.0,0,,0,,,,,
220153,2008,1,24,4,1240.0,1230,1646.0,1640,UA,69,N547UA,366.0,370.0,345.0,6.0,10.0,LAX,LIH,2615,5.0,16.0,0,,0,,,,,
3911583,2008,7,31,4,1352.0,1355,1452.0,1504,US,132,N155AW,60.0,69.0,43.0,-12.0,-3.0,SNA,LAS,226,8.0,9.0,0,,0,,,,,
1601931,2008,3,31,1,2125.0,2040,2318.0,2245,MQ,4832,N719AE,113.0,125.0,85.0,33.0,45.0,LGA,DTW,501,5.0,23.0,0,,0,0.0,0.0,0.0,0.0,33.0
5865524,2008,10,17,5,1522.0,1450,1935.0,1930,AA,1882,N5CCAA,193.0,220.0,171.0,5.0,32.0,DFW,BOS,1562,8.0,14.0,0,,0,,,,,
2463590,2008,5,25,7,1000.0,1005,1126.0,1130,WN,3438,N651SW,86.0,85.0,74.0,-4.0,-5.0,SFO,SAN,447,3.0,9.0,0,,0,,,,,
2921701,2008,5,6,2,935.0,940,1119.0,1126,AS,362,N958AS,104.0,106.0,82.0,-7.0,-5.0,SEA,SMF,605,4.0,18.0,0,,0,,,,,
3569186,2008,6,1,7,738.0,740,848.0,849,CO,1097,N77261,190.0,189.0,169.0,-1.0,-2.0,IAH,LAS,1222,8.0,13.0,0,,0,,,,,
4782844,2008,8,6,3,933.0,935,1253.0,1240,B6,375,N594JB,200.0,185.0,144.0,13.0,-2.0,LGA,FLL,1076,2.0,54.0,0,,0,,,,,
5687301,2008,10,8,3,1220.0,1230,1509.0,1515,EV,5151,N708EV,169.0,165.0,146.0,-6.0,-10.0,PVD,ATL,903,8.0,15.0,0,,0,,,,,
5586980,2008,10,12,7,1434.0,1437,1551.0,1607,UA,164,N813UA,77.0,90.0,59.0,-16.0,-3.0,MCI,ORD,403,6.0,12.0,0,,0,,,,,
1985005,2008,4,1,2,1001.0,1005,1530.0,1555,OO,4036,N800SK,209.0,230.0,162.0,-25.0,-4.0,SLC,CLE,1565,7.0,40.0,0,,0,,,,,
6432185,2008,11,23,7,1640.0,1645,1811.0,1804,CO,1711,N16648,91.0,79.0,56.0,7.0,-5.0,MFE,IAH,316,22.0,13.0,0,,0,,,,,
2152935,2008,4,21,1,655.0,700,940.0,958,FL,433,N947AT,105.0,118.0,88.0,-18.0,-5.0,MCI,ATL,692,8.0,9.0,0,,0,,,,,
6541074,2008,12,27,6,951.0,950,1157.0,1200,WN,2858,N442WN,66.0,70.0,54.0,-3.0,1.0,DEN,AMA,358,4.0,8.0,0,,0,,,,,
6972968,2008,12,29,1,1916.0,1915,2115.0,2120,CO,445,N62631,119.0,125.0,71.0,-5.0,1.0,EWR,RDU,416,6.0,42.0,0,,0,,,,,
5521945,2008,10,29,3,1955.0,2005,2115.0,2132,YV,2654,N909FJ,80.0,87.0,55.0,-17.0,-10.0,CLT,IAD,321,8.0,17.0,0,,0,,,,,
482160,2008,1,13,7,1748.0,1750,1844.0,1850,AA,357,N3DDAA,116.0,120.0,93.0,-6.0,-2.0,DFW,DEN,641,6.0,17.0,0,,0,,,,,
4134436,2008,7,1,2,1835.0,1845,2028.0,2035,AA,1691,N4XXAA,113.0,110.0,87.0,-7.0,-10.0,BNA,DFW,631,14.0,12.0,0,,0,,,,,
6989874,2008,12,6,6,744.0,730,958.0,1000,CO,627,N33266,194.0,210.0,179.0,-2.0,14.0,BWI,IAH,1235,7.0,8.0,0,,0,,,,,
5370612,2008,9,4,4,540.0,545,905.0,900,DL,756,N993DL,145.0,135.0,108.0,5.0,-5.0,DFW,ATL,732,23.0,14.0,0,,0,,,,,
6410079,2008,11,28,5,958.0,1000,1237.0,1238,AS,460,N755AS,159.0,158.0,124.0,-1.0,-2.0,SEA,LAX,954,12.0,23.0,0,,0,,,,,
2898900,2008,5,28,3,1824.0,1755,2141.0,2120,AA,1482,N527AA,137.0,145.0,120.0,21.0,29.0,DFW,TPA,929,5.0,12.0,0,,0,15.0,0.0,0.0,0.0,6.0
6331372,2008,11,28,5,1941.0,1925,2046.0,2056,NW,1189,N519US,245.0,271.0,219.0,-10.0,16.0,DTW,LAS,1750,5.0,21.0,0,,0,,,,,
4024280,2008,7,2,3,2354.0,2105,53.0,2150,MQ,4053,N672AE,59.0,45.0,32.0,183.0,169.0,ORD,DBQ,147,4.0,23.0,0,,0,0.0,0.0,16.0,0.0,167.0
1062186,2008,2,3,7,1538.0,1540,1716.0,1710,AA,515,N244AA,98.0,90.0,72.0,6.0,-2.0,DFW,MFE,468,5.0,21.0,0,,0,,,,,
897121,2008,2,20,3,829.0,830,1254.0,1309,DL,785,N623DL,205.0,219.0,184.0,-15.0,-1.0,ATL,SJU,1547,7.0,14.0,0,,0,,,,,
951886,2008,2,20,3,912.0,900,1204.0,1123,FL,690,N963AT,172.0,143.0,130.0,41.0,12.0,BWI,SRQ,880,4.0,38.0,0,,0,12.0,0.0,29.0,0.0,0.0
5152358,2008,9,29,1,654.0,700,758.0,815,EV,4906,N914EV,64.0,75.0,38.0,-17.0,-6.0,TRI,ATL,227,17.0,9.0,0,,0,,,,,
4549857,2008,8,26,2,624.0,630,1407.0,1410,DL,1014,N637DL,283.0,280.0,264.0,-3.0,-6.0,SMF,ATL,2092,7.0,12.0,0,,0,,,,,
3583838,2008,6,3,2,836.0,845,1359.0,1415,DL,1486,N3771K,203.0,210.0,172.0,-16.0,-9.0,SLC,CVG,1449,14.0,17.0,0,,0,,,,,
5007787,2008,9,10,3,1953.0,1955,2046.0,2100,OO,3913,N813SK,113.0,125.0,89.0,-14.0,-2.0,SLC,SFO,599,6.0,18.0,0,,0,,,,,
2449581,2008,5,21,3,1917.0,1840,2029.0,2000,WN,3337,N375SW,72.0,80.0,61.0,29.0,37.0,LAX,TUS,451,3.0,8.0,0,,0,0.0,0.0,6.0,0.0,23.0
2220791,2008,4,28,1,2136.0,2135,2309.0,2301,NW,711,N530US,213.0,206.0,189.0,8.0,1.0,MSP,LAS,1300,7.0,17.0,0,,0,,,,,
2856213,2008,5,20,2,1520.0,1525,1616.0,1620,9E,5683,89699E,56.0,55.0,22.0,-4.0,-5.0,RST,MSP,76,20.0,14.0,0,,0,,,,,
