Name,MPG,Cylinders,Displacement,Origin
chevrolet chevelle malibu,18,8,307,US
buick skylark 320,15,8,350,US
plymouth satellite,18,8,318,US
amc rebel sst,16,8,304,US
ford torino,17,8,302,US
ford galaxie 500,15,8,429,US
chevrolet impala,14,8,454,US
plymouth fury iii,14,8,440,US
pontiac catali0,14,8,455,US
amc ambassador dpl,15,8,390,US
citroen ds-21 pallas,23,4,133,Europe
chevrolet chevelle concours (sw),23,8,350,US
ford torino (sw),23,8,351,US
plymouth satellite (sw),23,8,383,US
amc rebel sst (sw),23,8,360,US
dodge challenger se,15,8,383,US
plymouth 'cuda 340,14,8,340,US
ford mustang boss 302,23,8,302,US
chevrolet monte carlo,15,8,400,US
buick estate wagon (sw),14,8,455,US
toyota coro0 mark ii,24,4,113,Asia
plymouth duster,22,6,198,US
amc hornet,18,6,199,US
ford maverick,21,6,200,US
datsun pl510,27,4,97,Asia
volkswagen 1131 deluxe sedan,26,4,97,Europe
peugeot 504,25,4,110,Europe
audi 100 ls,24,4,107,Europe
saab 99e,25,4,104,Europe
bmw 2002,26,4,121,Europe
amc gremlin,21,6,199,US
ford f250,10,8,360,US
chevy c20,10,8,307,US
dodge d200,11,8,318,US
hi 1200d,9,8,304,US
datsun pl510,27,4,97,Asia
chevrolet vega 2300,28,4,140,US
toyota coro0,25,4,113,Asia
ford pinto,25,4,98,US
volkswagen super beetle 117,23,4,97,Europe
amc gremlin,19,6,232,US
plymouth satellite custom,16,6,225,US
chevrolet chevelle malibu,17,6,250,US
ford torino 500,19,6,250,US
amc matador,18,6,232,US
chevrolet impala,14,8,350,US
pontiac catali0 brougham,14,8,400,US
ford galaxie 500,14,8,351,US
plymouth fury iii,14,8,318,US
dodge mo0co (sw),12,8,383,US
ford country squire (sw),13,8,400,US
pontiac safari (sw),13,8,400,US
amc hornet sportabout (sw),18,6,258,US
chevrolet vega (sw),22,4,140,US
pontiac firebird,19,6,250,US
ford mustang,18,6,250,US
mercury capri 2000,23,4,122,US
opel 1900,28,4,116,Europe
peugeot 304,30,4,79,Europe
fiat 124b,30,4,88,Europe
toyota corolla 1200,31,4,71,Asia
datsun 1200,35,4,72,Asia
volkswagen model 111,27,4,97,Europe
plymouth cricket,26,4,91,US
toyota coro0 hardtop,24,4,113,Asia
dodge colt hardtop,25,4,97.5,US
volkswagen type 3,23,4,97,Europe
chevrolet vega,20,4,140,US
ford pinto ru0bout,21,4,122,US
chevrolet impala,13,8,350,US
pontiac catali0,14,8,400,US
plymouth fury iii,15,8,318,US
ford galaxie 500,14,8,351,US
amc ambassador sst,17,8,304,US
mercury marquis,11,8,429,US
buick lesabre custom,13,8,350,US
oldsmobile delta 88 royale,12,8,350,US
chrysler newport royal,13,8,400,US
mazda rx2 coupe,19,3,70,Asia
amc matador (sw),15,8,304,US
chevrolet chevelle concours (sw),13,8,307,US
ford gran torino (sw),13,8,302,US
plymouth satellite custom (sw),14,8,318,US
volvo 145e (sw),18,4,121,Europe
volkswagen 411 (sw),22,4,121,Europe
peugeot 504 (sw),21,4,120,Europe
re0ult 12 (sw),26,4,96,Europe
ford pinto (sw),22,4,122,US
datsun 510 (sw),28,4,97,Asia
toyouta coro0 mark ii (sw),23,4,120,Asia
dodge colt (sw),28,4,98,US
toyota corolla 1600 (sw),27,4,97,Asia
buick century 350,13,8,350,US
amc matador,14,8,304,US
chevrolet malibu,13,8,350,US
ford gran torino,14,8,302,US
dodge coronet custom,15,8,318,US
mercury marquis brougham,12,8,429,US
chevrolet caprice classic,13,8,400,US
ford ltd,13,8,351,US
plymouth fury gran sedan,14,8,318,US
chrysler new yorker brougham,13,8,440,US
buick electra 225 custom,12,8,455,US
amc ambassador brougham,13,8,360,US
plymouth valiant,18,6,225,US
chevrolet nova custom,16,6,250,US
amc hornet,18,6,232,US
ford maverick,18,6,250,US
plymouth duster,23,6,198,US
